Ion = Lithium     , Mass = 7.016
Tgt =  C (Solid), Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
3.440E+02   4.325E+01  3.537E-01 
3.509E+02   4.371E+01  3.482E-01 
3.579E+02   4.417E+01  3.427E-01 
3.651E+02   4.464E+01  3.373E-01 
3.724E+02   4.511E+01  3.320E-01 
3.799E+02   4.558E+01  3.268E-01 
3.874E+02   4.606E+01  3.216E-01 
3.952E+02   4.654E+01  3.166E-01 
4.031E+02   4.703E+01  3.116E-01 
4.112E+02   4.752E+01  3.067E-01 
4.194E+02   4.801E+01  3.018E-01 
4.278E+02   4.851E+01  2.970E-01 
4.363E+02   4.901E+01  2.923E-01 
4.451E+02   4.951E+01  2.877E-01 
4.540E+02   5.001E+01  2.831E-01 
4.630E+02   5.052E+01  2.786E-01 
4.723E+02   5.103E+01  2.742E-01 
4.817E+02   5.154E+01  2.698E-01 
4.914E+02   5.205E+01  2.655E-01 
5.012E+02   5.256E+01  2.613E-01 
5.112E+02   5.308E+01  2.571E-01 
5.215E+02   5.359E+01  2.530E-01 
5.319E+02   5.411E+01  2.490E-01 
5.425E+02   5.463E+01  2.450E-01 
5.534E+02   5.514E+01  2.411E-01 
5.644E+02   5.566E+01  2.372E-01 
5.757E+02   5.617E+01  2.334E-01 
5.872E+02   5.668E+01  2.296E-01 
5.990E+02   5.719E+01  2.260E-01 
6.110E+02   5.770E+01  2.223E-01 
6.232E+02   5.821E+01  2.187E-01 
6.356E+02   5.871E+01  2.152E-01 
6.484E+02   5.921E+01  2.118E-01 
6.613E+02   5.971E+01  2.083E-01 
6.746E+02   6.020E+01  2.050E-01 
6.880E+02   6.069E+01  2.017E-01 
7.018E+02   6.117E+01  1.984E-01 
7.158E+02   6.165E+01  1.952E-01 
7.302E+02   6.212E+01  1.920E-01 
7.448E+02   6.259E+01  1.889E-01 
7.597E+02   6.305E+01  1.859E-01 
7.749E+02   6.350E+01  1.828E-01 
7.903E+02   6.394E+01  1.799E-01 
8.062E+02   6.438E+01  1.770E-01 
8.223E+02   6.481E+01  1.741E-01 
8.387E+02   6.523E+01  1.712E-01 
8.555E+02   6.564E+01  1.685E-01 
8.726E+02   6.603E+01  1.657E-01 
8.901E+02   6.642E+01  1.630E-01 
9.079E+02   6.680E+01  1.604E-01 
9.260E+02   6.717E+01  1.577E-01 
9.445E+02   6.753E+01  1.552E-01 
9.634E+02   6.787E+01  1.526E-01 
9.827E+02   6.820E+01  1.501E-01 
1.002E+03   6.852E+01  1.477E-01 
1.022E+03   6.883E+01  1.453E-01 
1.043E+03   6.912E+01  1.429E-01 
1.064E+03   6.940E+01  1.405E-01 
1.085E+03   6.966E+01  1.382E-01 
1.107E+03   6.991E+01  1.360E-01 
1.129E+03   7.015E+01  1.337E-01 
1.151E+03   7.037E+01  1.315E-01 
1.174E+03   7.057E+01  1.294E-01 
1.198E+03   7.076E+01  1.272E-01 
1.222E+03   7.093E+01  1.251E-01 
1.246E+03   7.109E+01  1.231E-01 
1.271E+03   7.123E+01  1.210E-01 
1.297E+03   7.135E+01  1.190E-01 
1.323E+03   7.145E+01  1.171E-01 
1.349E+03   7.154E+01  1.151E-01 
1.376E+03   7.162E+01  1.132E-01 
1.404E+03   7.167E+01  1.114E-01 
